Volume Fraction,Fiber Shape,Fiber Length,Longitudinal Young's Modulus
0.10846492,3.0,2.0,12.531437
0.14724988,1.0,1.0,14.843857
0.0585634,2.0,1.0,8.043224
0.6681167,3.0,2.0,36.085163
0.62641937,2.0,1.0,33.465996
0.22971866,1.0,2.0,18.63372
0.21400012,1.0,1.0,17.673641
0.5255865,1.0,1.0,28.998066
0.51749045,2.0,2.0,27.205091
0.11358194,1.0,2.0,12.531437
0.10210521,3.0,2.0,11.961511
0.19174889,1.0,1.0,17.499998
0.4788396,3.0,1.0,26.626593
0.6603412,1.0,1.0,36.008312
0.63927144,1.0,2.0,33.465996
0.4771363,3.0,1.0,26.626593
0.5254644,1.0,2.0,28.998066
0.4391896,1.0,1.0,25.300566
0.28891674,1.0,1.0,21.322832
0.109033816,1.0,1.0,12.531437
0.5400695,3.0,2.0,28.998066
0.47156456,1.0,2.0,26.437496
0.30803263,3.0,2.0,21.322832
0.12613122,2.0,1.0,14.5745325
0.3867972,1.0,2.0,22.615854
0.39824456,1.0,2.0,24.245125
0.508813,1.0,1.0,27.205091
0.69617796,1.0,1.0,43.883812
0.50849164,2.0,1.0,27.205091
0.09765951,1.0,1.0,11.961511
0.68694144,2.0,2.0,41.641685
0.16968524,3.0,2.0,15.7176
0.12446264,3.0,1.0,14.5745325
0.20891744,1.0,2.0,17.499998
0.26242745,3.0,2.0,19.651516
0.6570014,1.0,1.0,36.008312
0.5923734,1.0,1.0,33.17651
0.15541653,1.0,1.0,15.535065
0.25879747,1.0,1.0,19.651516
0.16695103,1.0,1.0,15.7176
0.17021342,1.0,2.0,15.7176
0.36295572,1.0,2.0,22.205038
0.37396014,2.0,1.0,22.615854
0.46572226,2.0,2.0,26.437496
0.47642934,1.0,2.0,26.626593
0.2305636,3.0,1.0,18.63372
0.21452303,3.0,1.0,17.673641
0.46638864,1.0,1.0,26.437496
0.6943824,1.0,1.0,43.883812
0.68321174,3.0,2.0,39.838528
0.057149287,1.0,1.0,8.043224
0.21988784,1.0,1.0,18.63372
0.6093177,1.0,1.0,33.17651
0.12615398,1.0,1.0,14.5745325
0.65061474,1.0,2.0,36.008312
0.09616056,1.0,1.0,11.961511
0.66042125,1.0,2.0,36.008312
0.69113624,2.0,2.0,41.641685
0.20209976,1.0,1.0,17.499998
0.07113266,1.0,1.0,10.034244
0.55459845,1.0,1.0,29.271967
0.5707511,1.0,2.0,29.294287
0.43912998,3.0,2.0,25.300566
0.40218493,1.0,1.0,24.245125
0.28790936,3.0,2.0,21.322832
0.6348501,2.0,2.0,33.465996
0.52110225,3.0,2.0,27.205091
0.62316686,3.0,2.0,33.465996
0.5822016,1.0,1.0,29.294287
0.24336985,3.0,2.0,19.651516
0.2480529,1.0,1.0,19.651516
0.6801389,1.0,2.0,39.838528
0.0845343,3.0,2.0,10.864187
0.1602226,1.0,1.0,15.7176
0.37082112,3.0,1.0,22.615854
0.08768909,3.0,1.0,11.465458
0.06275605,1.0,1.0,8.641277
0.55968493,3.0,2.0,29.294287
0.5966013,1.0,1.0,33.17651
0.67078424,2.0,1.0,36.085163
0.20093189,1.0,2.0,17.499998
0.33935323,3.0,2.0,21.322832
0.052971378,1.0,2.0,6.802192
0.5251575,3.0,2.0,28.998066
0.34841895,1.0,1.0,22.205038
0.5133231,2.0,1.0,27.205091
0.105878726,1.0,1.0,12.531437
0.27089244,2.0,1.0,20.158564
0.30481023,3.0,2.0,21.322832
0.69072455,1.0,2.0,41.641685
0.06739811,1.0,1.0,9.455333
0.2990809,3.0,2.0,21.322832
0.18554132,1.0,1.0,17.499998
0.33361125,1.0,2.0,21.322832
0.45144492,3.0,2.0,25.300566
0.18936251,3.0,2.0,17.499998
0.47463134,1.0,1.0,26.626593
0.15591395,2.0,2.0,15.535065
0.58543825,2.0,2.0,29.294287
0.33691487,1.0,2.0,21.322832
0.49019995,1.0,1.0,26.626593
0.5106219,1.0,1.0,27.205091
0.33314735,1.0,1.0,21.322832
0.13612594,1.0,1.0,14.5745325
0.61904097,1.0,1.0,33.465996
0.14834453,1.0,1.0,15.535065
0.63781935,3.0,2.0,33.465996
0.4726553,1.0,2.0,26.437496
0.5554088,3.0,1.0,29.271967
0.102679364,1.0,2.0,11.961511
0.09933215,3.0,1.0,11.961511
0.1644787,3.0,1.0,15.7176
0.325926,3.0,2.0,21.322832
0.66263914,1.0,2.0,36.008312
0.68115366,2.0,1.0,39.838528
0.60240406,1.0,1.0,33.17651
0.41421086,1.0,1.0,24.245125
0.60099536,1.0,2.0,33.17651
0.06653185,1.0,1.0,9.455333
0.16965593,1.0,1.0,15.7176
0.6636671,3.0,1.0,36.034595
0.60689443,1.0,1.0,33.17651
0.0993073,1.0,1.0,11.961511
0.49583656,3.0,1.0,26.626593
0.3530139,2.0,1.0,22.205038
0.46348602,2.0,1.0,26.437496
0.056595355,3.0,2.0,7.4782887
0.5890151,1.0,2.0,29.294287
0.078702085,3.0,2.0,10.150851
0.5647296,2.0,1.0,29.294287
0.49688503,1.0,1.0,26.626593
0.50448096,2.0,1.0,27.205091
0.65651363,1.0,1.0,36.008312
0.18266371,1.0,1.0,17.499998
0.13512579,1.0,1.0,14.5745325
0.46118516,1.0,1.0,26.437496
0.51139396,3.0,2.0,27.205091
0.112985395,1.0,2.0,12.531437
0.13682725,1.0,1.0,14.5745325
0.27804607,3.0,2.0,20.158564
0.50135815,1.0,2.0,27.205091
0.12363202,1.0,1.0,14.5745325
0.46844983,3.0,2.0,26.437496
0.6712368,1.0,1.0,36.085163
0.28009886,1.0,1.0,20.158564
0.60456914,1.0,1.0,33.17651
0.654268,2.0,2.0,36.008312
0.6700458,1.0,2.0,36.085163
0.45638248,3.0,2.0,25.300566
0.5959201,1.0,1.0,33.17651
0.17816721,1.0,2.0,17.499998
0.5623469,3.0,2.0,29.294287
0.07738677,3.0,1.0,10.150851
0.2555006,1.0,2.0,19.651516
0.2488388,1.0,2.0,19.651516
0.55237174,1.0,1.0,29.271967
0.14542669,1.0,1.0,14.843857
0.13244979,3.0,1.0,14.5745325
0.46312544,1.0,1.0,26.437496
0.10766575,1.0,1.0,12.531437
0.277774,1.0,1.0,20.158564
0.5933159,1.0,2.0,33.17651
0.58631086,2.0,2.0,29.294287
0.19950734,3.0,2.0,17.499998
0.57565755,1.0,1.0,29.294287
0.40478525,1.0,2.0,24.245125
0.08560235,3.0,1.0,11.465458
0.6854847,1.0,1.0,41.641685
0.11237661,1.0,1.0,12.531437
0.21107902,1.0,1.0,17.499998
0.6197296,2.0,2.0,33.465996
0.53834975,1.0,2.0,28.998066
0.5071851,1.0,2.0,27.205091
0.62913084,1.0,1.0,33.465996
0.55197114,1.0,1.0,29.271967
0.23304443,2.0,1.0,19.651516
0.5164483,1.0,2.0,27.205091
0.12169076,1.0,1.0,14.5745325
0.693082,1.0,2.0,43.883812
0.64108074,1.0,2.0,33.465996
0.4050389,2.0,2.0,24.245125
0.69348675,1.0,2.0,43.883812
0.24657613,3.0,2.0,19.651516
0.29184255,1.0,1.0,21.322832
0.498558,1.0,2.0,26.626593
0.6497454,1.0,2.0,36.008312
0.15496436,1.0,1.0,15.535065
0.6050473,1.0,1.0,33.17651
0.6674516,3.0,2.0,36.085163
0.10143316,2.0,1.0,11.961511
0.09931651,2.0,2.0,11.961511
0.21093859,3.0,2.0,17.499998
0.6777903,2.0,2.0,37.4427
0.06360168,1.0,1.0,8.641277
0.12109327,1.0,1.0,14.5745325
0.23617662,3.0,2.0,19.651516
0.3855406,1.0,2.0,22.615854
0.4226131,1.0,1.0,24.245125
0.33813414,3.0,2.0,21.322832
0.60578996,1.0,2.0,33.17651
0.59538263,2.0,2.0,33.17651
0.23830986,1.0,1.0,19.651516
0.5820455,1.0,2.0,29.294287
0.29789925,1.0,1.0,21.322832
0.28790948,3.0,1.0,21.322832
0.608156,1.0,1.0,33.17651
0.43363976,1.0,1.0,25.300566
0.095091775,1.0,2.0,11.961511
0.67590654,3.0,1.0,36.085163
0.11211697,1.0,1.0,12.531437
0.6969131,1.0,2.0,45.131943
0.54701734,1.0,1.0,29.271967
0.07983265,1.0,1.0,10.864187
0.51889884,1.0,1.0,27.205091
0.59542054,2.0,2.0,33.17651
0.15716709,1.0,2.0,15.535065
0.08396197,2.0,2.0,10.864187
0.6689074,2.0,2.0,36.085163
0.6828923,1.0,1.0,39.838528
0.24265835,1.0,1.0,19.651516
0.55372614,3.0,2.0,29.271967
0.10552934,1.0,1.0,12.531437
0.60508287,2.0,2.0,33.17651
0.565735,1.0,2.0,29.294287
0.6553292,1.0,1.0,36.008312
0.27110633,1.0,1.0,20.158564
0.4430924,1.0,2.0,25.300566
0.56958604,3.0,2.0,29.294287
0.104659036,1.0,1.0,12.531437
0.3739931,1.0,2.0,22.615854
0.13549444,2.0,1.0,14.5745325
0.417521,1.0,2.0,24.245125
0.58981204,1.0,1.0,29.294287
0.4372474,3.0,2.0,25.300566
0.22127856,2.0,2.0,18.63372
0.19314261,2.0,1.0,17.499998
0.28267038,1.0,1.0,20.158564
0.5127105,1.0,1.0,27.205091
0.4491827,1.0,2.0,25.300566
0.6352231,1.0,1.0,33.465996
0.6215387,2.0,1.0,33.465996
0.61972445,1.0,2.0,33.465996
0.6164356,3.0,1.0,33.465996
0.34639698,1.0,1.0,21.322832
0.67569923,1.0,2.0,36.085163
0.09078313,1.0,1.0,11.961511
0.31038347,1.0,1.0,21.322832
0.6281991,1.0,1.0,33.465996
0.662158,1.0,1.0,36.008312
0.2960133,1.0,1.0,21.322832
0.06302147,1.0,1.0,8.641277
0.25728896,1.0,1.0,19.651516
0.42498568,2.0,1.0,24.245125
0.6460397,3.0,2.0,36.008312
0.67944145,1.0,2.0,39.838528
0.6407137,2.0,2.0,33.465996
0.2102317,1.0,1.0,17.499998
0.1762424,3.0,1.0,17.499998
0.24398264,2.0,2.0,19.651516
0.4695249,1.0,1.0,26.437496
0.063174665,1.0,2.0,8.641277
0.41047633,1.0,1.0,24.245125
0.6451153,1.0,1.0,36.008312
0.060991056,1.0,1.0,8.641277
0.1426649,2.0,1.0,14.843857
0.23871523,3.0,1.0,19.651516
0.058796085,3.0,1.0,8.043224
0.46096602,1.0,2.0,26.437496
0.31079957,1.0,1.0,21.322832
0.14235182,3.0,2.0,14.843857
0.55264974,1.0,1.0,29.271967
0.5454039,1.0,2.0,29.271967
0.22480662,1.0,1.0,18.63372
0.116144225,3.0,2.0,12.531437
0.26558363,1.0,2.0,19.651516
0.26801,1.0,1.0,20.158564
0.116643496,2.0,1.0,12.531437
0.15558265,2.0,1.0,15.535065
0.053431932,1.0,1.0,7.007684
0.6080265,3.0,2.0,33.17651
0.6777363,3.0,2.0,37.4427
0.49881643,1.0,1.0,27.205091
0.64489585,2.0,1.0,36.008312
0.32273805,2.0,1.0,21.322832
0.626458,1.0,1.0,33.465996
0.5569922,1.0,2.0,29.271967
0.6582096,3.0,1.0,36.008312
0.65719175,1.0,2.0,36.008312
0.4615827,1.0,1.0,26.437496
0.23609427,1.0,1.0,19.651516
0.109680206,3.0,1.0,12.531437
0.62621474,3.0,2.0,33.465996
0.29773137,1.0,1.0,21.322832
0.095059834,1.0,1.0,11.961511
0.13483295,1.0,1.0,14.5745325
0.34084395,1.0,2.0,21.322832
0.64387745,3.0,2.0,33.465996
0.593569,1.0,1.0,33.17651
0.44975615,1.0,2.0,25.300566
0.60664344,1.0,1.0,33.17651
0.11630603,1.0,2.0,12.531437
0.1480759,1.0,2.0,14.843857
0.23192617,1.0,2.0,19.651516
0.5064203,1.0,1.0,27.205091
0.09212929,1.0,1.0,11.961511
0.4146602,1.0,2.0,24.245125
0.6799387,2.0,2.0,39.838528
0.37692115,1.0,1.0,22.615854
0.69243836,1.0,2.0,42.799847
0.14078148,3.0,1.0,14.5745325
0.35445654,1.0,2.0,22.205038
0.15978275,1.0,1.0,15.7176
0.35043687,2.0,1.0,22.205038
0.059423108,1.0,1.0,8.641277
0.4030982,1.0,1.0,24.245125
0.6674023,1.0,2.0,36.085163
0.39696473,1.0,1.0,24.245125
0.26868823,2.0,1.0,20.158564
0.66360986,3.0,2.0,36.008312
0.6332049,1.0,2.0,33.465996
0.20926131,2.0,1.0,17.499998
0.11619524,3.0,1.0,12.531437
0.5637347,2.0,2.0,29.294287
0.574401,3.0,1.0,29.294287
0.58791584,1.0,2.0,29.294287
0.46234864,3.0,2.0,26.437496
0.33441243,1.0,1.0,21.322832
0.119748294,2.0,1.0,14.5745325
0.6355331,3.0,1.0,33.465996
0.071600266,1.0,1.0,10.034244
0.30214682,2.0,2.0,21.322832
0.68777156,2.0,2.0,41.641685
0.42681673,1.0,1.0,24.245125
0.59835696,1.0,2.0,33.17651
0.5222684,1.0,1.0,27.205091
0.10320454,3.0,2.0,11.961511
0.51838666,2.0,2.0,27.205091
0.11239059,3.0,1.0,12.531437
0.10142822,1.0,2.0,11.961511
0.622346,2.0,1.0,33.465996
0.64889246,1.0,1.0,36.008312
0.13821644,1.0,1.0,14.5745325
0.68045205,1.0,2.0,39.838528
0.22225294,1.0,1.0,18.63372
0.06798567,1.0,1.0,9.455333
0.6389147,3.0,2.0,33.465996
0.58408195,2.0,2.0,29.294287
0.28125715,3.0,2.0,20.158564
0.5489567,3.0,2.0,29.271967
0.21647927,1.0,1.0,17.673641
0.26739052,2.0,2.0,20.158564
0.2431731,1.0,1.0,19.651516
0.30884534,1.0,1.0,21.322832
0.271082,2.0,1.0,20.158564
0.4574239,1.0,1.0,26.019014
0.3060003,3.0,2.0,21.322832
0.3004443,3.0,1.0,21.322832
0.44217062,3.0,2.0,25.300566
0.4702366,3.0,2.0,26.437496
0.10840372,2.0,2.0,12.531437
0.3574042,1.0,2.0,22.205038
0.69521594,2.0,2.0,43.883812
0.08526153,3.0,1.0,10.864187
0.17951265,3.0,1.0,17.499998
0.17776841,1.0,2.0,17.499998
0.69832003,2.0,1.0,49.61546
0.31177256,3.0,1.0,21.322832
0.57008284,2.0,2.0,29.294287
0.6667,3.0,2.0,36.085163
0.23413262,1.0,1.0,19.651516
0.66631794,3.0,1.0,36.085163
0.5115017,1.0,1.0,27.205091
0.21253319,3.0,2.0,17.673641
0.5414127,1.0,2.0,28.998066
0.20579912,2.0,1.0,17.499998
0.62297225,1.0,1.0,33.465996
0.28192577,2.0,1.0,20.158564
0.08154725,1.0,1.0,10.864187
0.43810406,3.0,2.0,25.300566
0.36674365,1.0,1.0,22.205038
0.15837093,2.0,1.0,15.7176
0.69190603,1.0,2.0,42.799847
0.51530355,3.0,2.0,27.205091
0.5625511,3.0,2.0,29.294287
0.10732841,1.0,1.0,12.531437
0.639029,1.0,1.0,33.465996
0.24503966,2.0,1.0,19.651516
0.64047974,2.0,2.0,33.465996
0.2261726,1.0,1.0,18.63372
0.64278,3.0,1.0,33.465996
0.5524147,1.0,1.0,29.271967
0.56642586,1.0,1.0,29.294287
0.4516597,2.0,1.0,25.300566
0.56933135,1.0,1.0,29.294287
0.32211074,1.0,2.0,21.322832
0.49873164,1.0,1.0,27.205091
0.53536373,1.0,1.0,28.998066
0.68184304,3.0,2.0,39.838528
0.56384856,3.0,2.0,29.294287
0.6444085,3.0,1.0,34.46776
0.33908427,2.0,1.0,21.322832
0.38070756,3.0,1.0,22.615854
0.6734482,3.0,1.0,36.085163
0.604774,3.0,2.0,33.17651
0.6030374,3.0,1.0,33.17651
0.19374552,2.0,2.0,17.499998
0.26727432,1.0,1.0,20.158564
0.08738275,1.0,1.0,11.465458
0.06155704,1.0,1.0,8.641277
0.60310507,3.0,1.0,33.17651
0.53188944,1.0,1.0,28.998066
0.69349515,1.0,1.0,43.883812
0.38972896,3.0,2.0,22.615854
0.40161633,2.0,1.0,24.245125
0.2308255,1.0,2.0,18.63372
0.5745769,1.0,1.0,29.294287
0.07550839,1.0,1.0,10.076854
0.55924034,2.0,1.0,29.271967
0.6926869,1.0,2.0,42.799847
0.53929037,1.0,1.0,28.998066
0.101063564,1.0,1.0,11.961511
0.10637725,3.0,1.0,12.531437
0.12583378,1.0,1.0,14.5745325
0.06605084,2.0,2.0,9.455333
0.28986824,1.0,1.0,21.322832
0.07505809,3.0,1.0,10.076854
0.1460244,1.0,1.0,14.843857
0.21130358,1.0,1.0,17.673641
0.6217867,2.0,2.0,33.465996
0.69647986,1.0,2.0,43.883812
0.6673299,1.0,2.0,36.085163
0.50736976,2.0,2.0,27.205091
0.5907816,1.0,2.0,29.294287
0.26022255,3.0,2.0,19.651516
0.31229585,3.0,2.0,21.322832
0.13571185,3.0,2.0,14.5745325
0.43294194,1.0,1.0,25.300566
0.5559902,3.0,1.0,29.271967
0.6351422,1.0,1.0,33.465996
0.2889518,3.0,1.0,21.322832
0.6411972,1.0,2.0,33.465996
0.13368966,3.0,1.0,14.5745325
0.6490657,1.0,2.0,36.008312
0.63926333,2.0,2.0,33.465996
0.6783139,1.0,2.0,39.838528
0.5017043,3.0,2.0,27.205091
0.5063075,3.0,2.0,27.205091
0.17395082,2.0,1.0,17.499998
0.14870277,1.0,1.0,15.535065
0.6084652,2.0,2.0,33.17651
0.08523521,3.0,1.0,10.864187
0.6652507,1.0,2.0,36.085163
0.24560273,1.0,1.0,19.651516
0.27445084,1.0,1.0,20.158564
0.47473568,3.0,1.0,26.626593
0.05672468,1.0,2.0,7.4782887
0.48401678,2.0,1.0,26.626593
0.26237577,3.0,2.0,19.651516
0.46029112,1.0,1.0,26.437496
0.1727267,1.0,2.0,17.499998
0.634629,1.0,2.0,33.465996
0.4791681,1.0,2.0,26.626593
0.101842694,1.0,1.0,11.961511
0.5990952,2.0,1.0,33.17651
0.5716169,1.0,2.0,29.294287
0.27433124,1.0,1.0,20.158564
0.20978238,3.0,2.0,17.499998
0.6597588,1.0,1.0,36.008312
0.4565786,1.0,1.0,25.300566
0.5324989,1.0,2.0,28.998066
0.20138003,1.0,1.0,17.499998
0.6713039,1.0,1.0,36.085163
0.5036351,2.0,2.0,27.205091
0.60698104,3.0,1.0,33.17651
0.60324985,2.0,1.0,33.17651
0.2801399,2.0,1.0,20.158564
0.4640308,3.0,1.0,26.437496
0.07263922,1.0,1.0,10.076854
0.6593391,3.0,1.0,36.008312
0.22692926,2.0,1.0,18.63372
0.6015384,1.0,2.0,33.17651
0.48379573,1.0,1.0,26.626593
0.6087902,3.0,2.0,33.17651
0.08094224,1.0,2.0,10.864187
0.05848687,3.0,2.0,8.043224
0.37112147,2.0,2.0,22.615854
0.19627482,1.0,1.0,17.499998
0.44968945,3.0,1.0,25.300566
0.6264653,1.0,2.0,33.465996
0.68942696,1.0,2.0,41.641685
0.5466738,2.0,2.0,29.271967
0.23516266,3.0,2.0,19.651516
0.61527836,3.0,2.0,33.17651
0.6085138,2.0,2.0,33.17651
0.37724534,3.0,2.0,22.615854
0.6531128,1.0,2.0,36.008312
0.061034516,3.0,1.0,8.641277
0.5508612,1.0,2.0,29.271967
0.26468313,3.0,2.0,19.651516
0.58651084,3.0,2.0,29.294287
0.68092847,1.0,1.0,39.838528
0.668898,3.0,1.0,36.085163
0.38666412,1.0,1.0,22.615854
0.60441136,2.0,1.0,33.17651
0.6273882,3.0,2.0,33.465996
0.297398,1.0,1.0,21.322832
0.44211072,2.0,1.0,25.300566
0.3888814,3.0,2.0,22.615854
0.6258609,1.0,1.0,33.465996
0.3633482,3.0,2.0,22.205038
0.69124,3.0,2.0,42.799847
0.06371682,1.0,1.0,8.641277
0.33796498,1.0,2.0,21.322832
0.26481715,2.0,2.0,19.651516
0.60747707,2.0,2.0,33.17651
0.19115336,2.0,2.0,17.499998
0.4287765,1.0,1.0,25.300566
0.5449073,2.0,1.0,28.998066
0.07626456,1.0,2.0,10.076854
0.67990327,2.0,1.0,39.838528
0.62360054,1.0,1.0,33.465996
0.12772048,2.0,1.0,14.5745325
0.6729013,3.0,1.0,36.085163
0.53956115,2.0,2.0,28.998066
0.08872624,1.0,1.0,11.961511
0.5453906,1.0,2.0,28.998066
0.6733684,2.0,1.0,36.085163
0.34937206,1.0,2.0,22.205038
0.07921753,1.0,1.0,10.864187
0.21475713,3.0,1.0,17.673641
0.19238856,1.0,1.0,17.499998
0.15228446,3.0,2.0,15.535065
0.40599152,3.0,2.0,24.245125
0.07260337,2.0,2.0,10.034244
0.554739,1.0,2.0,29.271967
0.26518148,3.0,2.0,19.651516
0.61640894,3.0,1.0,33.465996
0.6201424,1.0,1.0,33.465996
0.5008823,1.0,1.0,27.205091
0.11176914,2.0,1.0,12.531437
0.24152872,1.0,2.0,19.651516
0.3607408,1.0,1.0,22.205038
0.6456839,2.0,2.0,36.008312
0.64062655,3.0,1.0,33.465996
0.16036493,1.0,1.0,15.7176
0.68941635,1.0,2.0,41.641685
0.18450646,3.0,2.0,17.499998
0.43710223,1.0,1.0,25.300566
0.68856215,1.0,1.0,41.641685
0.58702224,2.0,2.0,29.294287
0.6000757,3.0,1.0,33.17651
0.17482083,1.0,1.0,17.499998
0.6802825,3.0,2.0,39.838528
0.6353478,3.0,1.0,33.465996
0.56887144,2.0,1.0,29.294287
0.25172785,1.0,1.0,19.651516
0.40499634,1.0,1.0,24.245125
0.1602695,1.0,1.0,15.7176
0.60007936,3.0,2.0,33.17651
0.054020103,1.0,1.0,7.007684
0.09510919,2.0,2.0,11.961511
0.6311032,1.0,1.0,33.465996
0.47137377,1.0,2.0,26.437496
0.5647905,2.0,2.0,29.294287
0.19584984,1.0,2.0,17.499998
0.4888691,2.0,2.0,26.626593
0.46830708,1.0,2.0,26.437496
0.6904212,3.0,2.0,41.641685
0.6711776,2.0,1.0,36.085163
0.6707876,3.0,2.0,36.085163
0.37367064,1.0,1.0,22.615854
0.6375318,1.0,2.0,33.465996
0.18034342,3.0,2.0,17.499998
0.44398654,1.0,1.0,25.300566
0.41760096,1.0,1.0,24.245125
0.6439556,1.0,1.0,34.46776
0.5280563,1.0,1.0,28.998066
0.51504785,1.0,1.0,27.205091
0.11894961,2.0,2.0,12.531437
0.059302215,1.0,1.0,8.641277
0.6520215,1.0,2.0,36.008312
0.5143121,1.0,2.0,27.205091
0.113084555,3.0,2.0,12.531437
0.57284456,1.0,2.0,29.294287
0.67604214,3.0,2.0,36.085163
0.11859225,3.0,2.0,12.531437
0.37744862,3.0,2.0,22.615854
0.5810198,1.0,1.0,29.294287
0.5850512,3.0,1.0,29.294287
0.5398438,1.0,2.0,28.998066
0.6823026,1.0,2.0,39.838528
0.6262285,1.0,2.0,33.465996
0.17254978,1.0,1.0,17.499998
0.6809792,1.0,1.0,39.838528
0.4790255,1.0,1.0,26.626593
0.59955966,2.0,2.0,33.17651
0.27889365,1.0,1.0,20.158564
0.61843735,1.0,1.0,33.465996
0.22934823,2.0,2.0,18.63372
0.6394392,1.0,2.0,33.465996
0.6615737,1.0,2.0,36.008312
0.26904014,1.0,2.0,20.158564
0.5489736,2.0,1.0,29.271967
0.300207,3.0,2.0,21.322832
0.36299822,2.0,2.0,22.205038
0.09506391,1.0,1.0,11.961511
0.60598123,3.0,1.0,33.17651
0.6249409,1.0,1.0,33.465996
0.43515107,1.0,2.0,25.300566
0.49294648,1.0,1.0,26.626593
0.63165826,3.0,1.0,33.465996
0.22984937,2.0,1.0,18.63372
0.66502905,2.0,1.0,36.085163
0.6158812,1.0,2.0,33.465996
0.6701887,1.0,2.0,36.085163
0.42695725,1.0,1.0,25.300566
0.5047637,1.0,1.0,27.205091
0.0737426,1.0,1.0,10.076854
0.457295,2.0,2.0,25.300566
0.6035843,1.0,1.0,33.17651
0.4985682,2.0,2.0,26.626593
0.10628605,1.0,1.0,12.531437
0.5100348,1.0,1.0,27.205091
0.08250488,2.0,1.0,10.864187
0.4215531,3.0,1.0,24.245125
0.35816708,3.0,2.0,22.205038
0.6466372,1.0,2.0,36.008312
0.37315834,2.0,1.0,22.615854
0.510457,1.0,2.0,27.205091
0.44351062,1.0,2.0,25.300566
0.5850972,1.0,2.0,29.294287
0.63743186,3.0,2.0,33.465996
0.4809011,1.0,1.0,26.626593
0.45340502,3.0,2.0,25.300566
0.40795553,3.0,2.0,24.245125
0.6700386,1.0,1.0,36.085163
0.16462898,3.0,2.0,15.7176
0.59430957,1.0,1.0,33.17651
0.62459695,1.0,2.0,33.465996
