Volume Fraction,Fiber Shape,Fiber Length,Composite Young's Modulus
0.5888926,3.0,1.0,10.46613
0.5291045,1.0,1.0,9.99992
0.3319366,2.0,1.0,8.68773
0.62389857,1.0,1.0,10.691181
0.6712596,3.0,2.0,10.952795
0.59860635,2.0,2.0,10.544439
0.11033939,1.0,2.0,6.3426347
0.5718964,1.0,1.0,10.3282995
0.5489987,1.0,2.0,10.202025
0.12974943,1.0,2.0,6.5299172
0.66058123,3.0,1.0,10.909712
0.07340986,2.0,2.0,5.9517612
0.6566418,3.0,2.0,10.86381
0.603893,2.0,1.0,10.559616
0.48384908,1.0,1.0,9.6482315
0.5181205,3.0,1.0,9.982939
0.5266929,3.0,1.0,10.182601
0.6556974,2.0,2.0,10.844625
0.44287097,3.0,1.0,9.366246
0.29418156,2.0,1.0,8.177481
0.59721303,2.0,2.0,10.518399
0.6805274,2.0,1.0,11.013965
0.55845445,1.0,1.0,10.318227
0.5377862,1.0,1.0,10.200849
0.06062606,1.0,1.0,5.73945
0.5051263,2.0,2.0,9.95455
0.66233516,1.0,2.0,10.852748
0.26445958,2.0,2.0,7.900585
0.097302355,3.0,2.0,6.217155
0.57571626,1.0,2.0,10.415954
0.51235664,2.0,1.0,9.877805
0.6256043,3.0,1.0,10.663351
0.15578745,1.0,2.0,6.9226794
0.41075838,1.0,1.0,9.300769
0.2782785,1.0,2.0,8.059723
0.41636458,1.0,1.0,9.295659
0.4067384,3.0,2.0,9.025263
0.5391602,3.0,1.0,10.186166
0.09532666,2.0,2.0,6.255339
0.5846214,3.0,2.0,10.377122
0.08880811,3.0,1.0,6.1654954
0.17767008,1.0,2.0,7.082319
0.3040348,3.0,2.0,8.398061
0.16850017,2.0,2.0,7.010846
0.66003704,3.0,1.0,10.907945
0.300932,3.0,2.0,8.410336
0.58116025,1.0,2.0,10.414774
0.08576511,1.0,1.0,6.059957
0.5079892,1.0,2.0,9.881443
0.6553712,2.0,1.0,10.855703
0.3570621,3.0,1.0,8.837612
0.6136262,3.0,2.0,10.64029
0.06484497,1.0,1.0,5.741652
0.355413,2.0,2.0,8.805904
0.43249097,2.0,1.0,9.417004
0.17090307,1.0,2.0,7.0793567
0.4439649,1.0,1.0,9.4135
0.6872828,2.0,1.0,11.076947
0.10824205,3.0,2.0,6.400252
0.53966904,1.0,2.0,10.216259
0.41519672,2.0,2.0,9.1926775
0.4990995,3.0,1.0,9.984098
0.35852534,2.0,1.0,8.872581
0.08807523,3.0,2.0,6.1701775
0.4862245,3.0,2.0,9.874877
0.3696281,1.0,2.0,8.944591
0.5877033,2.0,1.0,10.452417
0.3989259,1.0,2.0,9.053511
0.6506938,1.0,2.0,10.860361
0.66891736,1.0,1.0,10.969748
0.24857038,2.0,2.0,7.7777014
0.25705558,2.0,2.0,7.8592415
0.53896236,1.0,1.0,10.186271
0.67368,1.0,2.0,10.963969
0.6673868,3.0,2.0,10.929236
0.6695872,1.0,2.0,10.952831
0.3893187,1.0,1.0,9.044396
0.123221315,2.0,1.0,6.4888086
0.5859202,3.0,2.0,10.4012375
0.07087832,1.0,2.0,5.917574
0.37133723,3.0,1.0,9.050123
0.6047155,3.0,1.0,10.591734
0.59331656,1.0,2.0,10.469732
0.6075398,3.0,1.0,10.60527
0.18697919,2.0,1.0,7.274377
0.2875828,2.0,2.0,8.411389
0.14920723,2.0,2.0,6.9431014
0.4143287,2.0,2.0,9.20575
0.54827124,1.0,1.0,10.176379
0.63641715,3.0,2.0,10.759546
0.2352894,1.0,2.0,7.822521
0.36801076,1.0,2.0,8.887907
0.3096374,1.0,1.0,8.388622
0.26962095,2.0,2.0,7.917203
0.6022748,3.0,1.0,10.495145
0.09752839,1.0,1.0,6.215472
0.64497435,2.0,2.0,10.782042
0.092880294,1.0,2.0,6.146788
0.64720136,2.0,2.0,10.799772
0.33723438,1.0,2.0,8.7045355
0.07040376,3.0,1.0,5.8813057
0.11532681,2.0,1.0,6.497442
0.51360977,3.0,2.0,9.917125
0.38699833,1.0,1.0,9.057913
0.1799033,2.0,1.0,7.2580166
0.628942,1.0,1.0,10.67251
0.55875343,3.0,2.0,10.216041
0.15533793,3.0,2.0,6.8618093
0.062344346,1.0,2.0,5.7610984
0.6878189,2.0,2.0,11.06949
0.62390697,3.0,1.0,10.649303
0.22146228,2.0,2.0,7.6262536
0.552295,2.0,2.0,10.251252
0.5503108,1.0,2.0,10.211188
0.060973454,1.0,1.0,5.7363005
0.25360087,3.0,2.0,7.889455
0.5069224,3.0,2.0,9.933821
0.58940756,2.0,2.0,10.426017
0.1507712,2.0,1.0,6.7460337
0.13942748,2.0,1.0,6.725088
0.64854896,3.0,1.0,10.849851
0.0627223,3.0,2.0,5.74165
0.53031325,3.0,2.0,10.059387
0.6480645,3.0,1.0,10.8622055
0.10390533,2.0,2.0,6.2668824
0.058396455,1.0,1.0,5.713918
0.4349117,1.0,1.0,9.430112
0.059790116,3.0,2.0,5.7357736
0.5935062,2.0,2.0,10.422283
0.12687775,1.0,1.0,6.6775465
0.3808789,1.0,1.0,9.075506
0.5828396,2.0,2.0,10.414472
0.062188648,1.0,1.0,5.7318435
0.3914939,1.0,1.0,9.061199
0.57184696,2.0,2.0,10.323606
0.2649694,3.0,1.0,8.026325
0.12672623,2.0,2.0,6.537347
0.2545473,1.0,2.0,7.876737
0.5488362,3.0,1.0,10.196684
0.09111031,1.0,2.0,6.165791
0.2513392,1.0,2.0,7.8763266
0.68776464,3.0,1.0,11.068608
0.6456745,2.0,2.0,10.773891
0.1631162,3.0,2.0,7.0860476
0.66221905,2.0,2.0,10.898468
0.6380112,2.0,2.0,10.750472
0.136345,1.0,1.0,6.6959105
0.08010023,2.0,1.0,5.9527483
0.076254316,1.0,2.0,5.932436
0.5371084,1.0,2.0,10.197151
0.107736565,3.0,2.0,6.4113207
0.66950464,2.0,1.0,10.923607
0.6279708,3.0,2.0,10.661577
0.3443884,2.0,2.0,8.814622
0.6243121,3.0,1.0,10.661182
0.23232453,2.0,2.0,7.6349454
0.13519114,2.0,2.0,6.7079396
0.10067245,2.0,1.0,6.261305
0.66979396,1.0,2.0,10.936985
0.58981997,3.0,1.0,10.481595
0.577529,1.0,2.0,10.413917
0.07949404,1.0,1.0,6.010969
0.6771839,2.0,2.0,10.971325
0.49228662,1.0,2.0,9.788141
0.12715569,3.0,2.0,6.6219177
0.48522753,3.0,2.0,9.864676
0.057807475,3.0,2.0,5.6779494
0.66494,2.0,1.0,10.933545
0.58343476,1.0,1.0,10.469711
0.18707034,3.0,2.0,7.2504344
0.4705345,2.0,1.0,9.784968
0.5420533,3.0,2.0,10.095334
0.5666103,3.0,2.0,10.353135
0.62100714,3.0,2.0,10.618464
0.07684992,1.0,2.0,5.9538445
0.2040881,2.0,1.0,7.363819
0.13642268,3.0,2.0,6.786092
0.4756783,1.0,2.0,9.794199
0.18225652,1.0,2.0,7.222872
0.5998664,2.0,2.0,10.525084
0.44098222,3.0,2.0,9.323897
0.09755166,3.0,1.0,6.281555
0.6833344,2.0,2.0,11.014584
0.35639566,1.0,1.0,8.548133
0.13410956,2.0,2.0,6.6284847
0.1821111,3.0,2.0,7.160683
0.6173509,1.0,1.0,10.592327
0.11461502,2.0,2.0,6.356321
0.3136848,3.0,2.0,8.396988
0.3528503,3.0,1.0,8.844687
0.30929992,3.0,1.0,8.410572
0.45856628,3.0,1.0,9.633587
0.2356184,2.0,1.0,7.724861
0.39291674,1.0,2.0,9.00747
0.06516005,3.0,1.0,5.874451
0.6358436,3.0,1.0,10.724143
0.30144295,3.0,2.0,8.3973465
0.6431337,3.0,2.0,10.75583
0.071221836,2.0,2.0,5.8952312
0.085509464,2.0,2.0,6.0904655
0.25586435,3.0,1.0,7.9704757
0.1819865,2.0,2.0,7.255165
0.45904735,3.0,1.0,9.618301
0.6612436,3.0,1.0,10.9058075
0.07369106,3.0,2.0,5.853009
0.63891965,2.0,1.0,10.74182
0.36783692,2.0,1.0,8.930743
0.65345454,1.0,1.0,10.860931
0.26005632,2.0,2.0,7.900924
0.5308194,1.0,1.0,10.024073
0.2958349,2.0,1.0,8.2013445
0.38241646,2.0,2.0,8.924828
0.119789,1.0,2.0,6.500289
0.60251915,2.0,2.0,10.525276
0.48029223,1.0,1.0,9.610265
0.6556312,1.0,1.0,10.874767
0.1675479,3.0,1.0,6.9671907
0.6412123,2.0,1.0,10.760034
0.44147635,1.0,1.0,9.415794
0.5684586,2.0,2.0,10.264842
0.6659223,3.0,1.0,10.921839
0.4304053,1.0,2.0,9.396763
0.25385055,2.0,2.0,7.799633
0.10954325,1.0,1.0,6.2950144
0.15417264,1.0,1.0,6.7907066
0.17877258,2.0,2.0,7.23269
0.6563856,2.0,2.0,10.830633
0.65420276,2.0,2.0,10.845865
0.56295794,3.0,1.0,10.231558
0.6739562,3.0,2.0,10.959957
0.16877253,2.0,2.0,7.069546
0.36365855,1.0,2.0,8.810677
0.56834084,3.0,1.0,10.341183
0.47686714,1.0,2.0,9.7743025
0.68774265,2.0,1.0,11.053344
0.25571817,1.0,1.0,7.8230786
0.65918696,1.0,1.0,10.895267
0.38054395,3.0,2.0,9.017025
0.6949292,3.0,2.0,11.106658
0.58815265,3.0,1.0,10.474658
0.637648,2.0,1.0,10.7261505
0.16754231,1.0,2.0,7.070112
0.60001075,1.0,1.0,10.529453
0.675363,1.0,2.0,10.987119
0.6287804,2.0,2.0,10.7197075
0.16994129,3.0,1.0,7.013921
0.52256995,2.0,2.0,10.00461
0.6645502,1.0,2.0,10.919258
0.111821905,3.0,2.0,6.437159
0.3208467,3.0,1.0,8.41731
0.6813332,2.0,2.0,11.017321
0.655099,2.0,2.0,10.831745
0.62542504,2.0,1.0,10.656259
0.44799516,1.0,2.0,9.568673
0.62723666,2.0,1.0,10.665332
0.647324,3.0,1.0,10.843364
0.6622952,1.0,1.0,10.899269
0.57189,1.0,1.0,10.34284
0.27877676,1.0,1.0,8.002312
0.6110392,1.0,1.0,10.57335
0.52726877,3.0,2.0,9.967856
0.38672146,3.0,1.0,9.104532
0.3700358,2.0,1.0,8.936121
0.21265224,1.0,1.0,7.491867
0.16520572,2.0,1.0,7.1925397
0.60454005,2.0,1.0,10.548111
0.64130646,1.0,2.0,10.792791
0.39030808,2.0,1.0,9.137993
0.5625198,2.0,1.0,10.310154
0.67925704,2.0,2.0,11.001296
0.5679645,2.0,2.0,10.274999
0.109820634,1.0,1.0,6.380296
0.21417885,2.0,1.0,7.479477
0.64972746,2.0,2.0,10.779124
0.57037157,2.0,2.0,10.311355
0.060181536,3.0,2.0,5.756044
0.14597322,2.0,2.0,6.886884
0.3194035,1.0,1.0,8.497919
0.6844064,1.0,1.0,11.039723
0.5702466,2.0,2.0,10.314623
0.2005037,1.0,1.0,7.2336287
0.16478309,2.0,2.0,7.0173197
0.21072058,3.0,2.0,7.4651604
0.44041607,2.0,2.0,9.419522
0.2969548,2.0,1.0,8.283325
0.6617262,2.0,2.0,10.877455
0.62475693,2.0,1.0,10.665305
0.6471923,2.0,2.0,10.7764845
0.2128721,3.0,2.0,7.4838066
0.18288004,2.0,1.0,7.2589226
0.64364713,3.0,2.0,10.755526
0.10096729,3.0,2.0,6.220021
0.61012995,1.0,2.0,10.588124
0.4407649,1.0,1.0,9.438918
0.3568412,1.0,1.0,8.96305
0.6288789,1.0,1.0,10.66641
0.6028945,1.0,1.0,10.557583
0.40149572,3.0,1.0,9.300212
0.073109895,1.0,1.0,5.9082217
0.386017,1.0,2.0,8.987587
0.25897458,3.0,2.0,7.8987875
0.30353072,1.0,1.0,8.322862
0.23336269,3.0,1.0,7.726932
0.68023914,1.0,2.0,11.009219
0.48219258,1.0,1.0,9.633625
0.3852669,3.0,1.0,9.096846
0.4780789,2.0,2.0,9.66387
0.3175078,3.0,2.0,8.393484
0.22931904,3.0,1.0,7.7291303
0.6013297,3.0,1.0,10.489183
0.095634654,1.0,2.0,6.171701
0.35260078,1.0,2.0,8.786028
0.5205743,3.0,1.0,10.097602
0.6879607,3.0,1.0,11.053698
0.3871355,3.0,2.0,9.027065
0.27030915,2.0,1.0,8.068481
0.17704287,2.0,1.0,7.182053
0.60256976,3.0,1.0,10.589926
0.5117191,2.0,1.0,9.889891
0.4980982,3.0,2.0,9.869763
0.6294127,3.0,2.0,10.664492
0.61061645,2.0,1.0,10.601393
0.3279755,3.0,1.0,8.530644
0.6609318,3.0,1.0,10.905879
0.43133417,1.0,1.0,9.419485
0.19910045,3.0,2.0,7.4326754
0.0707464,2.0,2.0,5.910509
0.31950256,3.0,1.0,8.435768
0.6632253,1.0,2.0,10.886587
0.5465185,3.0,2.0,10.177711
0.55680174,2.0,1.0,10.313402
0.6531419,1.0,1.0,10.859361
0.5016974,3.0,2.0,9.852974
0.68475854,1.0,1.0,11.04558
0.6599084,1.0,2.0,10.835261
0.20490381,3.0,2.0,7.4573193
0.6624759,3.0,2.0,10.871194
0.39919028,2.0,2.0,9.1104355
0.23559192,2.0,2.0,7.6403875
0.6790477,2.0,1.0,10.98171
0.5183101,1.0,2.0,10.08071
0.2458645,1.0,2.0,7.874032
0.48398545,3.0,1.0,9.822966
0.32438082,3.0,1.0,8.511193
0.45102143,3.0,1.0,9.501437
0.6318698,3.0,1.0,10.745459
0.64294034,1.0,1.0,10.732079
0.50154966,2.0,1.0,9.861633
0.18129791,1.0,1.0,7.1763945
0.6509718,2.0,2.0,10.824734
0.52413005,2.0,1.0,10.176668
0.58034056,3.0,2.0,10.394825
0.6494697,2.0,1.0,10.829104
0.5106346,1.0,1.0,9.97401
0.20461237,1.0,1.0,7.5198493
0.2709165,3.0,1.0,8.051536
0.05749631,2.0,2.0,5.7255325
0.596634,1.0,1.0,10.476234
0.5631453,1.0,1.0,10.344502
0.64749986,3.0,1.0,10.861393
0.6146202,1.0,1.0,10.587902
0.65298027,3.0,1.0,10.871455
0.5918624,3.0,1.0,10.475057
0.60601676,1.0,1.0,10.580756
0.21992089,1.0,1.0,7.511408
0.6364475,3.0,2.0,10.774918
0.69747597,2.0,1.0,11.135599
0.0734218,2.0,1.0,5.891556
0.46807474,3.0,1.0,9.802966
0.65735024,3.0,2.0,10.849644
0.6586006,3.0,2.0,10.861536
0.1547803,3.0,1.0,6.9285965
0.6428367,2.0,1.0,10.791337
0.20078811,1.0,1.0,7.396462
0.6093873,3.0,1.0,10.596997
0.30511224,2.0,2.0,8.405214
0.4446516,2.0,1.0,9.522756
0.13722076,3.0,2.0,6.795464
0.10162842,1.0,1.0,6.2006702
0.43556702,2.0,1.0,9.415916
0.5952832,1.0,1.0,10.477233
0.22682187,2.0,1.0,7.6496267
0.5406662,1.0,1.0,10.202913
0.061537042,1.0,1.0,5.757989
0.38634932,1.0,1.0,9.064422
0.21342666,2.0,2.0,7.654438
0.43658507,3.0,1.0,9.364765
0.55395937,2.0,2.0,10.253167
0.607349,3.0,2.0,10.545383
0.5278034,2.0,1.0,10.171402
0.21112074,1.0,2.0,7.4690795
0.61797667,3.0,2.0,10.617377
0.6826386,1.0,2.0,11.031277
0.18312475,3.0,2.0,7.146949
0.68590695,1.0,1.0,11.052395
0.21022364,3.0,2.0,7.450606
0.67669755,1.0,1.0,10.984618
0.5472579,3.0,2.0,10.202058
0.5489954,2.0,2.0,10.2543125
0.51724064,3.0,2.0,9.991529
0.3766924,1.0,1.0,9.064635
0.5165945,2.0,2.0,9.9869795
0.112422325,3.0,2.0,6.4170156
0.45555204,2.0,2.0,9.529883
0.36293998,2.0,2.0,8.892676
0.39235806,3.0,1.0,9.198513
0.5900281,2.0,1.0,10.443466
0.16996768,2.0,2.0,7.0481734
0.65236866,2.0,2.0,10.820217
0.17365645,3.0,2.0,7.15989
0.16404602,1.0,1.0,6.900211
0.65957755,1.0,2.0,10.857156
0.5431594,3.0,2.0,10.185341
0.63868505,3.0,2.0,10.768543
0.65397376,2.0,1.0,10.841758
0.42183325,2.0,2.0,9.360149
0.13438661,1.0,2.0,6.6271863
0.15241659,1.0,2.0,6.925533
0.4674214,2.0,1.0,9.778529
0.42376637,2.0,1.0,9.426933
0.2441245,2.0,2.0,7.790402
0.18512528,1.0,1.0,7.226878
0.551598,3.0,2.0,10.198699
0.64157355,3.0,2.0,10.750792
0.17782538,3.0,1.0,7.0136433
0.65249395,2.0,2.0,10.826328
0.36672172,1.0,2.0,8.80701
0.22874701,3.0,1.0,7.7180796
0.13012715,3.0,1.0,6.643411
0.1335477,1.0,1.0,6.674809
0.65747917,3.0,2.0,10.842397
0.6011021,3.0,1.0,10.47853
0.264288,3.0,2.0,7.96173
0.57107,3.0,1.0,10.354521
0.08512311,2.0,2.0,6.0850935
0.36882567,2.0,1.0,8.948745
0.27106184,3.0,2.0,8.141481
0.51545197,3.0,2.0,9.931104
0.25257084,1.0,1.0,7.832777
0.3211592,1.0,1.0,8.479002
0.3343546,2.0,1.0,8.755266
0.06928525,3.0,1.0,5.8660893
0.65301186,3.0,2.0,10.842962
0.15684943,1.0,1.0,6.8637333
0.55849797,2.0,2.0,10.283074
0.67572296,2.0,1.0,10.980045
0.59507805,3.0,2.0,10.425929
0.6690395,3.0,2.0,10.949866
0.07611985,3.0,2.0,5.9437733
0.08900976,2.0,1.0,6.1294184
0.42238948,2.0,1.0,9.411471
0.5956183,1.0,2.0,10.505927
0.16775252,1.0,1.0,6.913564
0.5197094,3.0,2.0,9.965966
0.07545932,3.0,1.0,5.964855
0.33783102,3.0,2.0,8.631577
0.14495757,3.0,2.0,6.7875867
0.07184017,2.0,2.0,5.920911
0.6218152,3.0,1.0,10.64957
0.686869,3.0,2.0,11.062903
0.10819279,3.0,2.0,6.4098477
0.43732145,1.0,2.0,9.56791
0.69318646,2.0,1.0,11.080426
0.13882716,1.0,1.0,6.678993
0.3321195,3.0,2.0,8.573414
0.641471,2.0,2.0,10.748182
0.5021257,1.0,2.0,9.779479
0.32930225,3.0,1.0,8.530046
0.43588796,2.0,2.0,9.410049
0.07669432,2.0,1.0,5.9128633
0.6808366,1.0,1.0,11.02197
0.4621664,3.0,1.0,9.636091
0.22249581,2.0,2.0,7.6439867
0.63631546,3.0,1.0,10.739611
0.45338696,2.0,2.0,9.516961
0.10747116,3.0,2.0,6.383772
0.05278257,2.0,2.0,5.599993
0.6529713,2.0,2.0,10.82176
0.59780633,3.0,2.0,10.451991
0.17314987,2.0,1.0,7.1661024
0.08575755,1.0,1.0,6.0433693
0.3869295,1.0,1.0,9.066763
0.6094835,3.0,1.0,10.615998
0.29524872,2.0,2.0,8.383976
0.67167366,3.0,1.0,10.957
0.15890825,1.0,2.0,7.09491
0.5092701,1.0,1.0,9.960498
0.34214774,1.0,1.0,8.559691
0.47292316,2.0,1.0,9.790704
0.6618512,2.0,2.0,10.879732
0.6872583,2.0,1.0,11.066928
0.60984004,2.0,1.0,10.613102
0.28433213,3.0,2.0,8.156599
0.32959527,2.0,1.0,8.669281
0.51343966,2.0,2.0,9.966334
0.22736555,3.0,1.0,7.700144
0.18966095,2.0,1.0,7.2712016
0.6627387,2.0,2.0,10.896667
0.6648963,3.0,2.0,10.9032345
0.28732297,3.0,2.0,8.162687
0.23818927,1.0,1.0,7.716134
0.117017105,3.0,2.0,6.42367
0.53282493,2.0,1.0,10.187874
0.43305275,1.0,2.0,9.400926
0.0895461,2.0,1.0,6.141691
0.20626593,3.0,2.0,7.4426804
0.16682838,2.0,1.0,7.1879735
0.59349436,1.0,2.0,10.4848175
0.54163665,2.0,2.0,10.1217785
0.5562902,1.0,2.0,10.25404
0.1276233,1.0,1.0,6.6671815
0.21001974,1.0,1.0,7.494255
0.15983632,1.0,1.0,6.8418264
0.5084987,1.0,1.0,9.958168
0.38640907,1.0,1.0,9.060966
0.18800493,2.0,2.0,7.277894
0.5476779,1.0,2.0,10.199318
0.62453204,2.0,1.0,10.672212
0.3813512,3.0,2.0,9.039371
0.05265869,2.0,1.0,5.6368694
0.16668855,3.0,1.0,6.967511
0.2842676,1.0,2.0,8.266162
0.60775703,1.0,2.0,10.536647
0.6223596,1.0,1.0,10.643291
0.0888527,1.0,2.0,6.091326
0.5887274,1.0,2.0,10.46109
0.2783176,1.0,2.0,8.18777
0.055110868,1.0,1.0,5.6551037
0.50399554,1.0,1.0,9.961668
0.6293863,2.0,1.0,10.677026
0.6505455,1.0,2.0,10.819593
0.5115565,2.0,1.0,9.878156
0.22821042,2.0,2.0,7.6271906
0.34620067,3.0,1.0,8.853954
0.63752353,1.0,1.0,10.737861
0.31282735,3.0,1.0,8.397709
0.40703312,2.0,2.0,9.088527
0.17359553,1.0,1.0,7.0530686
0.4898617,3.0,2.0,9.875732
0.34798104,3.0,2.0,8.654273
0.064101815,1.0,1.0,5.73787
0.24548373,1.0,2.0,7.7990346
0.49555135,3.0,1.0,9.813007
0.06579693,3.0,1.0,5.8514056
0.5883506,1.0,2.0,10.4751425
0.44229856,1.0,2.0,9.560011
0.674742,2.0,1.0,10.976865
0.32206652,2.0,1.0,8.438054
0.6019479,2.0,2.0,10.513322
0.63758004,2.0,1.0,10.729814
0.3365534,2.0,1.0,8.774832
0.52741486,3.0,1.0,10.174328
0.56679577,1.0,1.0,10.339426
0.5803247,1.0,2.0,10.413319
0.5916184,3.0,1.0,10.485475
0.09447812,3.0,2.0,6.1902604
0.6348428,2.0,2.0,10.701761
0.37927568,2.0,2.0,8.935391
0.33463314,1.0,1.0,8.489259
0.6302492,2.0,1.0,10.705119
0.06296998,2.0,2.0,5.8237934
0.5850519,1.0,2.0,10.448114
0.34852317,1.0,2.0,8.707489
0.3857977,2.0,1.0,9.166136
0.5691898,1.0,1.0,10.340789
0.17777589,1.0,2.0,7.0764523
0.47467196,1.0,2.0,9.657691
0.58340913,1.0,2.0,10.417236
0.2507867,1.0,1.0,7.7008886
0.63886195,3.0,2.0,10.773
0.645187,2.0,2.0,10.777447
0.6562101,3.0,1.0,10.882432
0.3406283,3.0,1.0,8.649771
0.076368086,2.0,1.0,5.91497
0.0536427,1.0,1.0,5.6236057
0.5888271,2.0,2.0,10.4443
0.2600179,2.0,2.0,7.8999915
0.5461838,3.0,1.0,10.176718
0.22867686,2.0,1.0,7.674191
0.6725598,1.0,1.0,10.995296
0.0919551,1.0,2.0,6.165055
0.6311939,2.0,1.0,10.718468
0.07552772,2.0,2.0,5.935606
0.4399207,2.0,2.0,9.416452
0.61200297,2.0,1.0,10.592903
0.6130278,3.0,2.0,10.627955
0.10751718,2.0,2.0,6.35549
0.17121878,1.0,2.0,7.0952144
0.6365395,1.0,1.0,10.754788
0.67767096,1.0,1.0,10.999284
0.63332826,1.0,2.0,10.755252
0.65573597,1.0,1.0,10.87165
0.4193503,1.0,2.0,9.394821
0.6229326,1.0,2.0,10.62636
0.67137265,1.0,2.0,10.954464
0.6353634,3.0,2.0,10.723351
0.6615223,1.0,1.0,10.920075
0.6172237,2.0,2.0,10.561746
0.5699707,2.0,1.0,10.417783
0.6760376,3.0,2.0,10.995316
0.4299126,1.0,1.0,9.407799
0.1109298,2.0,1.0,6.492562
0.20701984,3.0,2.0,7.457937
0.1598535,3.0,2.0,6.8883553
0.6613341,3.0,1.0,10.895057
0.50694466,1.0,2.0,9.786172
0.12163297,1.0,2.0,6.4983315
0.09767441,3.0,1.0,6.2498765
0.2585823,3.0,2.0,7.885208
0.21553789,2.0,2.0,7.636589
0.35464996,2.0,2.0,8.817063
0.6691029,1.0,2.0,10.92844
0.32508212,3.0,1.0,8.526992
0.5179139,1.0,2.0,10.037714
0.21172835,1.0,2.0,7.4564676
0.09283525,2.0,1.0,6.1364136
0.58536386,2.0,2.0,10.3966465
0.6460633,1.0,2.0,10.807708
0.14776632,1.0,1.0,6.7423196
0.17065036,2.0,2.0,7.1475525
0.5631452,1.0,2.0,10.283301
0.6546964,2.0,2.0,10.842093
0.27013922,1.0,1.0,8.017316
0.62332416,2.0,1.0,10.600027
0.6273136,2.0,2.0,10.702737
0.26615366,1.0,1.0,7.946291
0.27953577,2.0,1.0,8.191448
0.52344424,1.0,1.0,9.971802
0.35207355,1.0,1.0,8.5520525
0.10932725,3.0,2.0,6.4311547
0.50556344,1.0,2.0,9.79382
0.66590333,3.0,1.0,10.913949
0.64298564,1.0,2.0,10.797853
0.59753346,3.0,1.0,10.48994
0.63655657,3.0,1.0,10.739597
0.66926503,2.0,2.0,10.960141
0.5014879,2.0,1.0,9.855947
0.41762343,2.0,1.0,9.32361
0.26465473,2.0,1.0,7.994498
0.2416135,3.0,2.0,7.71566
0.6311133,3.0,1.0,10.7287445
0.22151528,3.0,2.0,7.5549273
0.07146324,1.0,1.0,5.930076
0.58611524,3.0,1.0,10.394754
0.6213485,3.0,2.0,10.668216
0.075945586,1.0,2.0,5.938526
0.31650326,1.0,1.0,8.398457
0.6742714,3.0,1.0,10.987647
0.33105645,2.0,2.0,8.71313
0.5761492,3.0,2.0,10.334949
0.5015825,1.0,1.0,9.805857
