Volume Fraction,Matrix Young's Modulus,Matrix Poisson Ratio,Fiber Young's Modulus,Fiber Poisson Ratio,Fiber Shape,Fiber Length,Composite Young's Modulus
0.35,5.35,0.354,232,0.279,3,1,84.4253
0.4,5.35,0.354,232,0.279,3,1,95.9699
0.45,5.35,0.354,232,0.279,3,1,107.4898
0.5,5.35,0.354,232,0.279,3,1,118.7023
0.55,5.35,0.354,232,0.279,3,1,130.2001
0.6,5.35,0.354,232,0.279,3,1,141.3183
0.65,5.35,0.354,232,0.279,3,1,152.7491
0.7,5.35,0.354,232,0.279,3,1,163.9481
0.05,5.35,0.354,232,0.279,3,2,12.4512
0.1,5.35,0.354,232,0.279,3,2,18.5974
0.15,5.35,0.354,232,0.279,3,2,24.268
0.2,5.35,0.354,232,0.279,3,2,30.5759
0.25,5.35,0.354,232,0.279,3,2,36.6742
0.3,5.35,0.354,232,0.279,3,2,42.0882
0.35,5.35,0.354,232,0.279,3,2,48.1617
0.4,5.35,0.354,232,0.279,3,2,54.2791
0.45,5.35,0.354,232,0.279,3,2,60.0999
0.5,5.35,0.354,232,0.279,3,2,66.0033
0.55,5.35,0.354,232,0.279,3,2,71.6644
0.6,5.35,0.354,232,0.279,3,2,77.4869
0.65,5.35,0.354,232,0.279,3,2,83.1351
0.7,5.35,0.354,232,0.279,3,2,88.2026
